INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
University of the Pacific,CA,2,0.6782,78445.0
Pepperdine University,CA,2,0.8467,82939.0
Pitzer College,CA,2,0.8321,69512.0
Point Loma Nazarene University,CA,2,0.7379,63998.0
Pomona College,CA,2,0.9319,77779.0
Santa Ana College,CA,1,0.3151,43552.0
University of Redlands,CA,2,0.7068,72690.0
Rio Hondo College,CA,1,0.2713,44950.0
San Diego Mesa College,CA,1,0.3375,45120.0
San Diego State University,CA,1,0.7827,64909.0
University of San Diego,CA,2,0.8158,86522.0
San Francisco State University,CA,1,0.5015,68077.0
University of San Francisco,CA,2,0.7113,89812.0
William Jessup University,CA,2,0.6071,56257.0
San Jose State University,CA,1,0.6465,78988.0
Santa Clara University,CA,2,0.8845,109183.0
Santa Monica College,CA,1,0.3583,42193.0
Scripps College,CA,2,0.8712,77539.0
Shasta Bible College and Graduate School,CA,2,0.3333,28891.0
Shasta College,CA,1,0.2913,39269.0
Simpson University,CA,2,0.4167,54340.0
Skyline College,CA,1,0.4141,55702.0
Saint Mary's College of California,CA,2,0.6899,78812.0
Solano Community College,CA,1,0.3377,44170.0
Sonoma State University,CA,1,0.6052,65986.0
Vanguard University of Southern California,CA,2,0.5586,59541.0
Southern California Institute of Architecture,CA,2,0.7,71909.0
University of Southern California,CA,2,0.9199,92498.0
Thomas Aquinas College,CA,2,0.8202,55619.0
Epic Bible College & Graduate School,CA,2,0.0,37822.0
West Los Angeles College,CA,1,0.2138,38537.0
Westmont College,CA,2,0.7009,64778.0
Whittier College,CA,2,0.6339,59492.0
Woodbury University,CA,2,0.5478,65668.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,2,0.2,48361.0
Adams State University,CO,1,0.3165,44372.0
Aims Community College,CO,1,0.3507,41887.0
Arapahoe Community College,CO,1,0.2679,48341.0
University of Colorado Denver/Anschutz Medical Campus,CO,1,0.474,64270.0
University of Colorado Colorado Springs,CO,1,0.4534,54659.0
University of Colorado Boulder,CO,1,0.7503,69738.0
Colorado Christian University,CO,2,0.5532,50416.0
Colorado College,CO,2,0.86,65222.0
Colorado Mountain College,CO,1,0.259,44127.0
Colorado School of Mines,CO,1,0.7944,97335.0
Colorado State University-Fort Collins,CO,1,0.6691,60543.0
Community College of Denver,CO,1,0.1579,39095.0
University of Denver,CO,2,0.7795,71155.0
Fort Lewis College,CO,1,0.4315,46349.0
Front Range Community College,CO,1,0.301,45910.0
Colorado Mesa University,CO,1,0.4152,45823.0
Metropolitan State University of Denver,CO,1,0.2989,52093.0
Morgan Community College,CO,1,0.4607,39429.0
Naropa University,CO,2,0.4595,28720.0
University of Northern Colorado,CO,1,0.5134,52231.0
Pikes Peak State College,CO,1,0.23,40796.0
Pueblo Community College,CO,1,0.3746,37434.0
Red Rocks Community College,CO,1,0.3737,46288.0
Regis University,CO,2,0.6111,72105.0
Montessori Education Center of the Rockies,CO,2,0.9167,44643.0
Colorado State University Pueblo,CO,1,0.3798,55563.0
Trinidad State College,CO,1,0.5572,36475.0
Western Colorado University,CO,1,0.5067,46833.0
Albertus Magnus College,CT,2,0.4609,60144.0
University of Bridgeport,CT,2,0.4809,50323.0
Central Connecticut State University,CT,1,0.4933,58562.0
